"요일","웹툰명","작가명","장르","최근평점","관심등록수","웹툰ID"
월요일,뷰티풀 군바리,설이,드라마,9.21,773089,648419
월요일,퀘스트지상주의,박태준 만화회사,드라마,9.69,484953,783052
월요일,신의 탑,SIU,판타지,9.81,1984043,183559
화요일,김부장,박태준 만화회사,액션,9.89,505414,783053
화요일,대학원 탈출일지,요다,일상,9.98,171011,790713
화요일,내가 키운 S급들,SERI,판타지,9.97,376333,784248
수요일,전지적 독자 시점,UMI,판타지,9.74,933266,747269
수요일,내 남편과 결혼해줘,LICO,로맨스,9.98,635586,783769
수요일,헬퍼 2 : 킬베로스,삭,액션,5.65,396614,670143
목요일,앞집나리,민송아,로맨스,9.93,207224,802293
목요일,연애혁명,"232",드라마,9.94,2591757,570503
목요일,재벌집 막내아들,JP,드라마,9.97,256275,800770
금요일,외모지상주의,박태준,드라마,9.67,2340218,641253
금요일,나 혼자 만렙 뉴비,WAN.Z,판타지,9.97,453769,773797
금요일,어쩌다보니 천생연,꿀타래,로맨스,9.98,521004,790245
토요일,"99강화나무몽둥이",홍실,판타지,9.94,471109,792651
토요일,호랑이형님,이상규,판타지,9.85,861541,650305
토요일,취사병 전설이 되다,제이로빈,판타지,9.9,408781,727188
일요일,싸움독학,박태준,액션,9.49,1051783,736277
일요일,약한영웅,서패스,액션,9.92,528496,710751
일요일,입학용,YC,액션,9.95,575541,758150
